City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,new norfolk,-42.7826,147.0587,8.84,90,100,1.42,AU,1731518815
83,ushuaia,-54.8,-68.3,10.81,43,0,2.57,AR,1731518773
84,kodiak,57.79,-152.4072,1.73,44,0,4.63,US,1731518916
85,cabo san lucas,22.8909,-109.9124,29.17,45,0,3.13,MX,1731518917
86,suva,-18.1416,178.4415,24.71,100,75,1.54,FJ,1731518918
87,tromso,69.6496,18.957,4.01,81,75,8.75,NO,1731518919
88,flying fish cove,-10.4217,105.6791,26.82,100,100,4.12,CX,1731518858
89,sinop,41.7711,34.8709,9.13,93,96,0.5,TR,1731518922
90,bereznik,62.8551,42.7072,1.69,88,100,4.24,RU,1731518923
91,akureyri,65.6835,-18.0878,7.96,53,20,10.8,IS,1731518924
92,gamay,12.3854,125.2979,24.35,96,100,1.21,PH,1731518925
93,viriat,46.2548,5.2157,4.97,91,100,1.66,FR,1731518926
94,kongolo,-5.3833,27.0,24.08,70,33,1.87,CD,1731518927
95,prince rupert,54.3161,-130.3201,8.83,89,100,3.6,CA,1731518929
96,kolosovka,56.4678,73.611,-13.11,95,93,4.32,RU,1731518821
97,senanga,-16.1167,23.2667,27.08,48,96,3.0,ZM,1731518931
98,muisne,0.6,-80.0333,23.38,76,100,4.34,EC,1731518933
99,susanville,40.4163,-120.653,7.68,59,100,0.45,US,1731518830
100,avarua,-21.2078,-159.775,22.03,78,100,2.57,CK,1731518935
101,selfoss,63.9331,-20.9971,6.14,80,93,3.65,IS,1731518937
102,teknaf,20.8624,92.3058,24.37,69,2,4.33,BD,1731518938
103,oranjemund,-28.55,16.4333,15.45,86,49,9.93,NA,1731518939
104,chinchilla,-26.75,150.6333,18.9,95,42,1.34,AU,1731518940
105,lensk,60.7253,114.9278,-20.53,100,87,2.17,RU,1731518941
106,chita,52.0333,113.55,-15.06,61,4,1.0,RU,1731518942
107,fortuna foothills,32.6578,-114.4119,19.05,21,0,3.09,US,1731518943
108,port alfred,-33.5906,26.891,17.32,78,92,3.93,ZA,1731518945
109,bredasdorp,-34.5322,20.0403,16.72,64,86,6.3,ZA,1731518946
110,pindushi,62.9152,34.58,2.93,91,100,5.35,RU,1731518947
111,mount isa,-20.7333,139.5,29.87,23,62,4.63,AU,1731518948
112,balakhta,55.38,91.6,-11.63,86,77,1.15,RU,1731518949
113,thinadhoo,0.5333,72.9333,28.22,75,30,4.72,MV,1731518950
114,ryotsu-minato,38.0833,138.4333,9.89,67,99,2.44,JP,1731518951
115,minas de marcona,-15.2119,-75.1103,20.09,56,96,3.68,PE,1731518953
116,pisco,-13.7,-76.2167,20.57,83,100,4.12,PE,1731518713
117,necochea,-38.5473,-58.7368,22.62,42,50,2.74,AR,1731518955
118,vorgashor,67.5833,63.95,-24.3,100,97,3.36,RU,1731518957
119,apen,53.2167,7.8,10.55,90,100,3.99,DE,1731518958
120,fale old settlement,-9.3852,-171.2468,28.4,77,3,6.72,TK,1731518959
121,ola,59.5833,151.2833,-18.95,76,72,3.64,RU,1731518961
122,lamu,-2.2717,40.902,25.65,86,34,2.43,KE,1731518962
123,priyutnoye,46.1011,43.5072,3.83,68,72,5.81,RU,1731518963
124,saudarkrokur,65.7461,-19.6394,5.0,83,27,7.53,IS,1731518964
125,tahe,52.3333,124.7333,-13.06,97,71,0.75,CN,1731518965
126,daru,-9.0763,143.2092,26.79,86,98,6.23,PG,1731518966
127,keetmanshoop,-26.5833,18.1333,32.51,9,2,3.6,NA,1731518967
128,howard springs,-12.497,131.047,25.95,91,100,1.9,AU,1731518968
129,ulladulla,-35.35,150.4667,15.93,89,60,4.11,AU,1731518970
130,san patricio,28.017,-97.5169,28.97,54,9,0.73,US,1731518971
131,bandon,51.7469,-8.7425,7.77,83,77,2.57,IE,1731518972
132,as sulayyil,20.4607,45.5779,24.09,20,2,3.54,SA,1731518973
133,vila velha,-20.3297,-40.2925,28.97,89,20,4.63,BR,1731518974
134,kiunga,-6.1219,141.2906,22.32,100,100,1.7,PG,1731518975
135,sarupathar,26.1984,93.8094,19.2,90,0,0.92,IN,1731518976
136,beichengqu,40.4394,113.1536,5.97,90,100,0.43,CN,1731518978
137,thompson,55.7435,-97.8558,1.09,80,20,4.63,CA,1731518979
138,dikhil,11.5,42.1667,26.46,44,2,4.44,DJ,1731518980
139,hamilton,39.1834,-84.5333,14.0,60,0,3.13,US,1731518102
140,mahad,18.0833,73.4167,24.71,60,42,1.6,IN,1731518982
141,whitehorse,60.7161,-135.0538,-5.57,86,100,2.06,CA,1731518984
142,grand falls-windsor,48.9332,-55.6649,0.84,91,100,3.13,CA,1731518689
143,pacific grove,36.6177,-121.9166,14.12,85,0,4.02,US,1731518986
144,cartagena del chaira,1.3349,-74.8429,31.96,52,93,1.0,CO,1731518987
145,nuuk,64.1835,-51.7216,-2.66,74,20,7.72,GL,1731518988
146,korsakov,46.6328,142.7813,-9.09,63,0,3.07,RU,1731518989
147,mar del plata,-38.0023,-57.5575,20.01,66,0,4.12,AR,1731518515
148,bulford,51.1893,-1.7601,8.14,81,0,2.57,GB,1731518991
149,bikenibeu village,1.3673,173.1241,26.98,78,20,3.6,KI,1731518993
150,nemuro,43.3236,145.575,3.61,63,6,5.38,JP,1731518994
151,san antonio de pale,-1.4014,5.6325,25.11,90,100,7.18,GQ,1731518995
152,cabinda,-5.55,12.2,28.08,83,75,3.6,AO,1731518996
153,morinville,53.8001,-113.652,1.95,87,0,1.03,CA,1731518997
154,shenjiamen,29.9576,122.298,20.12,85,62,3.74,CN,1731519000
155,hadibu,12.65,54.0333,26.03,66,3,4.86,YE,1731519001
156,longyearbyen,78.2186,15.6401,2.91,75,40,9.26,SJ,1731519002
157,tuy hoa,13.0833,109.3,23.55,96,41,0.97,VN,1731519003
158,bode saadu,8.9333,4.7833,30.18,35,37,0.85,NG,1731519005
159,kudahuvadhoo,2.6708,72.8944,28.38,69,55,2.98,MV,1731519006
160,halfway,39.6207,-77.7589,9.38,49,0,1.54,US,1731519007
161,port saint john's,-31.6229,29.5448,16.8,92,87,2.57,ZA,1731519009
162,port elizabeth,-33.918,25.5701,17.4,77,75,4.12,ZA,1731519010
163,hasaki,35.7333,140.8333,17.59,59,92,5.24,JP,1731519011
164,itoman,26.1247,127.6694,26.01,83,75,3.6,JP,1731519012
165,kill devil hills,36.0307,-75.676,13.88,62,100,5.14,US,1731519013
166,dzuunharaa,48.8523,106.4579,-5.54,82,88,0.52,MN,1731519014
167,palu,-0.8917,119.8707,24.39,95,89,1.44,ID,1731519015
168,lawrenceburg,38.0373,-84.8966,16.4,55,0,4.02,US,1731519017
169,shingu,33.7333,135.9833,14.82,76,35,2.49,JP,1731519018
170,utrik,11.2278,169.8474,28.06,75,61,5.18,MH,1731519019
171,udachny,66.4167,112.4,-29.19,99,61,2.44,RU,1731519020
172,gadzhiyevo,69.2551,33.3362,3.1,88,100,8.35,RU,1731519021
173,anadyr,64.75,177.4833,-2.72,80,100,13.0,RU,1731518765
174,peniche,39.3558,-9.3811,11.98,63,71,8.17,PT,1731519024
175,new batu batu,5.0667,119.8833,27.32,75,26,1.84,PH,1731519025
176,murzuq,25.9155,13.9184,20.27,21,99,2.02,LY,1731519026
177,vernon,50.2581,-119.2691,7.64,84,100,2.06,CA,1731519027
178,smithers,54.7804,-127.1743,0.18,100,100,0.0,CA,1731518947
179,saldanha,-33.0117,17.9442,16.12,77,1,14.24,ZA,1731519029
180,sao joao da barra,-21.6403,-41.0511,25.05,83,100,6.49,BR,1731519030
181,tiksi,71.6872,128.8694,-25.49,100,88,1.77,RU,1731519032
182,romny,50.751,33.4747,1.64,73,100,2.26,UA,1731519033
183,kaka,37.3482,59.6143,8.05,63,100,1.85,TM,1731519034
184,kirensk,57.7853,108.1119,-10.14,87,100,3.98,RU,1731519035
185,santa rosa misiones,-26.8667,-56.85,28.8,22,0,3.47,PY,1731519036
186,'ain deheb,34.8422,1.547,15.03,49,59,8.5,DZ,1731519037
187,nova vicosa,-17.8919,-39.3719,28.74,67,38,6.92,BR,1731519039
188,canutama,-6.5339,-64.3831,27.39,86,99,2.13,BR,1731519040
189,kyren,51.6828,102.1408,-12.53,82,47,0.52,RU,1731519041
